,sector,furnishDetail
0,sector 3 phase 2,"2 Wardrobe, 1 Water Purifier, 5 Fan, 1 Geyser, 12 Light, 1 AC, 1 Modular Kitchen, 1 Chimney, 1 Light, 1 Fan, 5 Wardrobe"
1,sector 56,"5 Fan, 1 Exhaust Fan, 3 Geyser, 25 Light, 1 Chimney, 1 Modular Kitchen, 4 Wardrobe, 3 Wardrobe, 4 Geyser, 10 Light, 1 Wardrobe, 1 Bed, 1 Water Purifier, 2 Fan, 1 Stove, 7 Light, 1 AC, 6 Fan, 2 Geyser, 8 Light, 12 Light, 6 Wardrobe, 12 Fan, 1 Dining Table, 6 Geyser, 18 Light, 21 Light, 10 Fan, 5 Wardrobe, 9 Fan, 5 Geyser, 5 Light, 24 Light, 3 Fan, 3 Light, 1 Curtains, 1 Geyser, 6 Light, 25 Fan, 1 Fridge, 16 Geyser, 78 Light, 9 AC, 3 Chimney, 16 Curtains, 28 Wardrobe, 4 Fan, 29 Light, 11 Light, 3 AC, 1 Light, 8 Fan, 16 Light, 2 Chimney, 4 Light, 7 Fan, 10 Geyser, 40 Light, 10 TV, 15 AC, 10 Bed, 12 Wardrobe, 1 Sofa, 1 Washing Machine, 1 Microwave, 26 Light, 16 AC, 4 Chimney, 9 Light, 15 Light, 7 Wardrobe, 1 Fan, 13 Light"
2,sector 102,"3 Wardrobe, 5 Fan, 1 Exhaust Fan, 1 Geyser, 1 Stove, 1 Modular Kitchen, 1 Chimney, 3 Curtains, 5 AC, 3 Geyser, 10 Light, 4 AC, 4 Fan, 5 Light, 2 Wardrobe, 2 Geyser, 8 Light, 3 AC, 1 Curtains, 6 Light, 6 Fan, 1 Water Purifier, 1 Fan, 1 Light, 1 AC, 2 AC, 8 Fan, 7 Light, 4 Geyser, 6 AC, 1 Wardrobe, 7 Wardrobe, 17 Light, 4 Light, 3 Fan, 7 Fan, 7 AC, 14 Light, 15 Light, 18 Light, 11 Light, 1 Dining Table, 6 Wardrobe, 5 Wardrobe, 20 Light, 2 Light, 16 Light, 12 Light, 21 Light, 1 Fridge, 25 Light, 1 TV, 2 Bed, 1 Sofa, 1 Microwave, 3 Light"
3,sector 49,"22 Wardrobe, 24 Fan, 1 Exhaust Fan, 33 Light, 1 Modular Kitchen, 3 Chimney, 2 Fan, 2 Light, 1 Chimney, 2 Wardrobe, 1 Water Purifier, 6 Fan, 1 Fridge, 4 Geyser, 1 Stove, 9 Light, 6 AC, 1 TV, 1 Curtains, 4 Bed, 4 Wardrobe, 1 Sofa, 1 Washing Machine, 1 Microwave, 3 Wardrobe, 4 Fan, 4 Light, 8 Fan, 3 Geyser, 8 Light, 12 Fan, 6 Geyser, 24 Light, 6 Wardrobe, 15 Light, 4 AC, 5 Fan, 1 Geyser, 6 Light, 5 AC, 12 Light, 3 AC, 1 Wardrobe, 1 Fan, 1 Light, 32 Light, 26 Light, 12 AC, 10 Light, 7 Fan, 1 Dining Table, 5 Geyser, 99 Light, 7 AC, 6 Curtains, 7 Wardrobe, 35 Light, 10 Curtains, 1 AC, 1 Bed, 2 Bed, 26 Fan, 12 Geyser, 42 Light, 19 Wardrobe, 14 Light, 12 Wardrobe, 20 Fan, 49 Light, 25 Light, 5 Light"
4,sector 86,"3 Wardrobe, 5 Fan, 1 Exhaust Fan, 3 Geyser, 10 Light, 1 Curtains, 1 Modular Kitchen, 1 Chimney, 2 Wardrobe, 4 Fan, 1 Geyser, 8 Light, 5 Wardrobe, 6 Fan, 4 Geyser, 7 Light, 1 Water Purifier, 1 Fridge, 1 Dining Table, 1 Stove, 12 Light, 5 AC, 4 Curtains, 1 TV, 1 Sofa, 1 Microwave, 1 Fan, 1 Light, 1 Washing Machine, 2 Geyser, 4 Light, 2 Bed, 7 Wardrobe, 12 Fan, 15 Light, 2 AC, 5 Light, 7 Fan, 3 AC, 9 Light, 3 Fan, 4 Wardrobe, 4 AC, 1 Wardrobe, 3 Bed"
5,sohna road road,"6 Wardrobe, 9 Fan, 10 Light, 1 Wardrobe, 1 Fan, 1 Exhaust Fan, 1 Geyser, 1 Light, 1 Modular Kitchen, 1 Chimney, 1 Bed"
6,sector 41,"3 Wardrobe, 6 Fan, 1 Exhaust Fan, 3 Geyser, 13 Light, 1 Chimney, 1 Modular Kitchen, 1 Light, 5 Wardrobe, 9 Fan, 4 Geyser, 12 Light, 5 Fan, 8 Geyser, 4 AC, 2 TV, 1 Curtains, 2 Bed, 2 Wardrobe, 1 Washing Machine, 1 Water Purifier, 10 Fan, 1 Fridge, 1 Dining Table, 7 Geyser, 1 Stove, 14 Light, 7 TV, 7 Wardrobe, 7 Bed, 1 Sofa, 1 Microwave, 10 Light, 5 AC, 10 Wardrobe, 12 Geyser, 6 AC, 2 Geyser, 6 Light, 3 Bed, 5 Geyser, 21 Light"
7,sector 13,"1 Light, 1 Fan, 2 Wardrobe, 1 Geyser, 2 AC"
8,sohna road,"1 Wardrobe, 1 Fan, 1 Light, 2 Fan, 2 Light, 1 Modular Kitchen, 3 Fan, 1 Exhaust Fan, 1 Dining Table, 3 Light, 4 Light, 1 Curtains, 1 Geyser, 1 AC, 1 Chimney, 1 Bed, 1 Sofa, 1 Water Purifier, 2 Geyser, 3 Wardrobe, 1 Microwave, 1 Washing Machine, 8 Light, 6 Curtains, 4 Fan, 1 Stove, 10 Light, 4 Wardrobe, 2 Bed, 2 Wardrobe, 7 Light, 3 AC, 2 Curtains, 6 Fan, 3 Geyser, 50 Light, 9 Light, 1 Fridge, 6 Light, 14 Light, 2 AC, 9 Curtains, 1 TV, 5 Light, 10 Curtains, 5 Fan, 12 Light, 2 TV, 40 Light, 3 Curtains, 11 Light, 8 Curtains"
9,sector 2,"1 Light, 6 Wardrobe, 6 Fan, 1 Exhaust Fan, 4 Geyser, 15 Light, 1 Modular Kitchen, 3 Wardrobe, 5 Fan, 2 Geyser, 5 Light, 4 Fan, 1 Geyser, 2 Wardrobe, 4 Light, 1 Chimney, 8 Light, 1 Water Purifier, 18 Fan, 15 Geyser, 1 Stove, 52 Light, 1 Curtains, 15 Wardrobe, 1 Microwave, 1 Fridge, 1 Dining Table, 20 Light, 4 AC, 1 TV, 3 Bed, 1 Sofa, 3 Fan, 3 Geyser, 10 Light, 1 Wardrobe, 2 Fan, 7 Light, 2 AC, 6 Light, 1 Fan, 4 Wardrobe, 8 Fan, 6 Geyser, 40 Light, 5 Wardrobe, 1 Washing Machine, 14 Light, 3 Light, 30 Light, 1 Bed, 2 Light, 5 Geyser, 1 AC, 10 Fan, 9 Light, 5 AC, 9 Wardrobe, 9 Geyser, 12 Light, 7 Wardrobe, 12 Fan, 7 Geyser, 19 Light, 10 AC, 2 Chimney, 8 Curtains"
